,meta_cat,organization,n_units,description,cost,fair_value
0,FEDERAL BONDS & GUARANTEES ,Business Development Bank of Canada,"934,000","4.75% due July 26, 2021","942,613","1,064,334"
1,FEDERAL BONDS & GUARANTEES ,Business Development Bank of Canada,"333,000","4.35% due February 28, 2022","332,967","365,805"
2,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"2,336,000","2.95% due March 15, 2015","2,334,832","2,388,951"
3,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"2,117,000","3.15% due June 15, 2015","2,114,206","2,179,866"
4,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"2,186,000","2.45% due December 15, 2015","2,180,710","2,239,056"
5,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"2,160,000","2.75% due December 15, 2015","2,155,118","2,224,849"
6,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"4,440,000","2.75% due June 15, 2016","4,515,001","4,595,967"
7,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"3,991,000","1.85% due December 15, 2016","4,013,138","4,038,875"
8,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"4,232,000","2.05% due June 15, 2017","4,263,574","4,290,868"
9,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"4,162,000","1.70% due December 15, 2017","4,158,085","4,133,095"
10,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"2,113,000","1.75% due June 15, 2018","2,112,070","2,084,941"
11,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"2,111,000","2.05% due June 15, 2018","2,108,425","2,109,699"
12,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"3,832,000","4.10% due December 15, 2018","4,160,417","4,168,591"
13,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"4,080,000","2.35% due December 15, 2018","4,100,969","4,102,881"
14,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"1,549,000","3.75% due March 15, 2020","1,622,941","1,659,526"
15,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"1,990,000","3.35% due December 15, 2020","1,972,178","2,075,958"
16,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"1,810,000","3.80% due June 15, 2021","1,867,496","1,933,659"
17,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"3,384,000","2.65% due March 15, 2022","3,449,485","3,309,865"
18,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,"3,067,000","2.40% due December 15, 2022","3,069,802","2,903,344"
