,meta_cat,organization,n_units,description,cost,fair_value
0,FEDERAL BONDS & GUARANTEES ,Business Development Bank of Canada,934000,"4.75% due July 26, 2021",942613,1064334
1,FEDERAL BONDS & GUARANTEES ,Business Development Bank of Canada,333000,"4.35% due February 28, 2022",332967,365805
2,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,2336000,"2.95% due March 15, 2015",2334832,2388951
3,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,2117000,"3.15% due June 15, 2015",2114206,2179866
4,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,2186000,"2.45% due December 15, 2015",2180710,2239056
5,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,2160000,"2.75% due December 15, 2015",2155118,2224849
6,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,4440000,"2.75% due June 15, 2016",4515001,4595967
7,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,3991000,"1.85% due December 15, 2016",4013138,4038875
8,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,4232000,"2.05% due June 15, 2017",4263574,4290868
9,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,4162000,"1.70% due December 15, 2017",4158085,4133095
10,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,2113000,"1.75% due June 15, 2018",2112070,2084941
11,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,2111000,"2.05% due June 15, 2018",2108425,2109699
12,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,3832000,"4.10% due December 15, 2018",4160417,4168591
13,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,4080000,"2.35% due December 15, 2018",4100969,4102881
14,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,1549000,"3.75% due March 15, 2020",1622941,1659526
15,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,1990000,"3.35% due December 15, 2020",1972178,2075958
16,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,1810000,"3.80% due June 15, 2021",1867496,1933659
17,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,3384000,"2.65% due March 15, 2022",3449485,3309865
18,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,3067000,"2.40% due December 15, 2022",3069802,2903344
19,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,852000,"2.35% due September 15, 2023",848217,792202
20,FEDERAL BONDS & GUARANTEES ,Canada Housing Trust No. 1,1634000,"3.15% due September 15, 2023",1637410,1628446
