rank,name,total_Gt_CO2,headquarters
1,Coal India,57.722,India
2,China Shenhua,36.807,China
3,Adani,25.383,India
4,Shanxi Coking,18.445,China
5,Anglo American,13.488,United Kingdom
6,BHP Billiton,12.351,United Kingdom
7,Yitai Coal,12.223,China
8,Datang Intl,12.206,China
9,China Coal,12.103,China
10,Peabody Energy,11.484,United States
11,Glencore Xstrata,10.698,Switzerland
12,Datong Coal,10.281,China
13,Yanzhou Coal,9.788,China
14,DEH,9.339,Greece
15,Exxaro,8.793,South Africa
16,Yangquan Coal,7.298,China
17,Mechel,6.739,Russia
18,Arch Coal,6.513,United States
19,Alpha Natural Resources,5.458,United States
20,EVRAZ,4.855,United Kingdom
21,Mitsubishi,4.738,Japan
22,Vale,4.401,Brazil
23,Raspadskaya,4.084,Russia
24,Rio Tinto,3.696,United Kingdom
25,Asia Resource,3.181,United Kingdom
26,Rusal,3.081,Cyprus
27,Neyveli Lignite,3.035,India
28,Pingdingshan,3.023,China
29,Cloud Peak,2.753,United States
30,Sasol,2.731,South Africa
31,Tata Steel,2.709,India
32,AGL,2.704,Australia
33,Teck,2.603,Canada
34,Severstal,2.577,Russia
35,Coalspur,2.545,Canada
36,Kuzbass Fuel ,2.504,Russia
37,Polyus Gold,2.294,Russia
38,Energy Ventures,2.184,Norway
39,Whitehaven Coal,2.055,Australia
40,Banpu,2.04,Thailand
41,Bayan,1.957,Indonesia
42,RWE,1.943,Germany
43,Consol Energy,1.887,United States
44,WHSP,1.851,Australia
45,Westmoreland,1.835,United States
46,Resource Generation,1.818,Australia
47,Churchill Mining,1.745,United Kingdom
48,NTPC,1.74,India
49,Adaro,1.607,Indonesia
50,Nacco,1.557,United States
51,Idemitsu Kosan,1.53,Japan
52,ARLP,1.468,United States
53,Huolinhe Opencut,1.387,China
54,Golden Energy,1.354,Norway
55,Mitsui & Co,1.344,Japan
56,CoAL,1.339,South Africa
57,NLMK,1.288,Russia
58,Tata Power,1.062,India
59,MMK OJSC,1.046,Russia
60,Wesfarmers,1.011,Australia
61,Kazakhmys,0.998,Kazakhstan
62,New World Resources,0.972,United Kingdom
63,MMC,0.903,Mongolia
64,Itochu,0.878,Japan
65,Cockatoo,0.8,Australia
66,Shanxi Meijin Energy,0.784,China
67,Jizhong Energy,0.742,China
68,Bandanna,0.731,Australia
69,Polo Resources,0.726,South Africa
70,Allete,0.723,United States
71,CLP Holdings,0.696,China
72,Aspire,0.67,Australia
73,Marubeni,0.568,Japan
74,China Resources,0.567,China
75,Walter Energy,0.556,United States
77,Indika,0.485,Indonesia
78,Arcelor Mittal,0.464,Luxembourg
79,FirstEnergy,0.458,United States
80,Black Hills,0.431,United States
81,Wescoal,0.43,South Africa
82,Grupo Mexico,0.42,Mexico
83,ARM,0.383,South Africa
84,Shanxi Coal,0.376,China
85,Capital Power,0.367,Canada
86,PTT,0.359,Thailand
87,Shanxi Lanhua Sci-Tech,0.338,China
88,Fortune,0.328,Canada
89,Cardero,0.323,Canada
90,Zhengzhou Coal,0.319,China
91,SAIL,0.307,India
92,JSPL,0.301,India
93,Shougang Fushan,0.299,China
94,Jingyuan,0.297,China
95,Stanmore,0.287,Australia
96,Prophecy Coal,0.272,Canada
97,Cliffs Natural Resources,0.247,United States
98,James River,0.195,United States
99,CESC,0.185,India
100,Alcoa,0.18,United States
